,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
239,Grand Central,James Patterson and Kathryn Fox,1455568139,2016-11-06,MISSING,3,1
240,Viking,Tana French,None,2016-11-06,THE TRESPASSER,3,2
241,"Little, Brown",James Patterson and Maxine Paetro,031627402X,2016-10-30,WOMAN OF GOD,3,3
242,Gallery Books,Catherine Coulter,1501150316,2016-09-11,INSIDIOUS,3,1
243,Delacorte,Danielle Steel,1101885572,2016-08-07,MAGIC,3,1
244,Berkley,Nora Roberts,042528011X,2016-07-17,BAY OF SIGHS,3,3
245,EverAfter Romance,Vi Keeland and Penelope Ward,1942215398,2016-05-15,STUCK-UP SUIT,3,2
246,Putnam,C J Box,None,2016-04-10,OFF THE GRID,3,3
247,Putnam,Clive Cussler and Justin Scott,0698406427,2016-04-03,THE GANGSTER,3,2
248,Bantam,Dean Koontz,0345545966,2016-01-10,ASHLEY BELL,3,2
249,Atria,Jennifer Weiner,1451617836,2015-09-13,WHO DO YOU LOVE,3,4
250,Putnam,Catherine Coulter,None,2015-08-09,NEMESIS,3,1
251,Roc,Jim Butcher,None,2014-06-29,SKIN GAME,3,2
252,Bantam,Janet Evanovich and Lee Goldberg,None,2014-03-30,THE CHASE,3,2
253,Helen Cooper,J S Cooper and Helen Cooper,None,2014-03-09,THE EX GAMES,3,3
254,HarperCollins,Joyce Maynard,0061957658,2014-02-23,LABOR DAY,3,2
255,Ecco/HarperCollins,Amy Tan,0062107313,2013-12-08,THE VALLEY OF AMAZEMENT,3,4
256,Gail McHugh,Gail McHugh,None,2013-08-11,PULSE,3,1
257,Putnam,Catherine Coulter,None,2013-08-11,BOMBSHELL,3,1
258,Hard Case Crime,Stephen King,1781162646,2013-07-07,JOYLAND,3,1
259,Broad Reach Publishing,Hugh Howey,None,2013-06-09,WOOL OMNIBUS EDITION,3,3
260,Tor/Tom Doherty Associates,Robert Jordan and Brandon Sanderson,1429997176,2013-04-28,A MEMORY OF LIGHT,3,4
261,Simon & Schuster,Kyra Davis,1476711100,2013-04-21,THE STRANGER,3,2
262,Harlequin,Susan Mallery,None,2013-04-14,THREE SISTERS,3,2
263,Grand Central Publishing,Sandra Brown,1455546348,2013-03-31,MIRROR IMAGE,3,2
264,Abbi Glines,Abbi Glines,None,2013-03-31,FALLEN TOO FAR,3,3
265,Penguin Group,J D Robb,None,2013-03-31,CALCULATED IN DEATH,3,3
266,Elisabeth Naughton,Elisabeth Naughton,0985671955,2013-03-17,WAIT FOR ME,3,3
267,Grand Central Publishing,Brad Meltzer,None,2013-02-17,THE FIFTH ASSASSIN,3,3
268,Penguin Group,John Sandford,None,2012-11-04,MAD RIVER,3,2
269,Penguin Group,Deborah Harkness,None,2012-08-12,SHADOW OF NIGHT,3,3
270,Penguin Group,J D Robb,None,2012-03-25,CELEBRITY IN DEATH,3,3
271,Penguin Group,Lisa Gardner,None,2012-03-11,CATCH ME,3,2
