,isbn,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating
0,0316317128,3555,8586,473,5026,10877,599,3.64
0,0804177643,122,251,26,45481,100533,4910,4.2
0,0307270645,9721,32704,1619,12900,37744,1810,4.08
0,1466862610,11,29,4,10018,21082,890,4.05
0,0385531397,39,85,10,13765,22027,1360,3.68
0,1455536369,15,30,2,11549,23074,972,4.03
0,1466842040,19,43,6,21432,40641,2532,3.79
0,1101965495,888,1522,201,15382,28938,2231,3.72
0,1460330196,27,70,12,195014,391658,15016,3.81
0,1501108557,8530,17015,918,12575,24919,1144,3.99
0,1455525936,3,14,0,87,212,3,4.22
0,034551162X,2387,8343,375,25792,51598,3274,3.23
0,0374239215,32852,81233,3718,41255,96588,4496,3.62
0,1460382072,19,33,3,6416,13414,484,4.12
0,0698161440,50,87,7,18506,39216,1541,4.36
0,0307962520,15602,51333,2088,20247,59895,2469,3.8
0,0385352107,80336,141209,6722,130065,225873,11183,3.85
0,0062316877,48,97,27,18207,47641,2133,3.87
0,1455525855,64,130,20,23092,39567,2111,4.07
0,1460317971,65,108,7,9829,17654,625,4.07
0,1460315065,95,199,18,11807,20231,696,4.09
0,1439112827,47,78,7,19015,36398,1396,3.89
0,1476712999,329,418,103,165745,284837,11870,4.2
0,0345538811,38,67,12,12701,21653,945,3.89
0,034553865X,6,47,0,5890,12516,609,3.85
0,0446576468,210,307,50,32062,65815,1987,3.92
0,1451658907,4451,20120,525,65589,136060,5188,4.15
0,0679644687,1,1,0,192479,327894,12804,3.94
0,0312364431,1350,6411,186,92637,185231,8562,4.18
0,0684867311,6,35,0,479495,650604,14765,4.04
0,0446554987,787,1386,108,23199,35815,1435,4.07
0,045146379X,72066,103548,3676,82660,118980,4267,4.25
0,0345526600,165,269,29,35068,57666,1940,4.12
0,0316175579,116,218,18,36670,66576,2305,3.9
0,0385343140,6689,12388,658,9203,16939,814,3.7
0,0373775555,3325,5808,236,3805,6812,263,4.05
0,0778329313,10252,17181,426,12141,21450,531,4.31
0,1501180983,122817,342910,11184,181798,496464,17544,3.98
0,1501193317,17,32,8,5929,21497,746,4.12
0,0525521194,3399,33845,528,35322,114306,4683,3.61
0,0399586091,20,29,8,4012,10116,549,3.96
0,0062696815,45,83,15,47242,116145,4807,3.55
0,0440339340,61335,87581,2550,77415,115202,3342,4.21
0,1466887249,4,12,1,3195,9586,368,4.12
0,0345803787,19573,39303,3313,327247,635817,29582,3.85
0,1488023557,0,0,0,6636,17092,592,4.15
0,0062433970,8236,30472,1540,10557,42912,1821,3.78
0,1501154664,94,178,30,196160,458991,17110,4.03
0,1501138219,5,17,2,4464,16178,571,4.08
0,0316556343,260599,717491,29788,321398,837952,37224,4.27
0,0062391941,2522,4137,456,5363,12890,708,3.96
0,0525533222,20,36,5,43508,148366,4711,3.59
0,0345548558,30,38,5,10483,24812,1205,3.97
0,0062436651,6647,12265,919,10400,20715,1201,4.21
0,0062468871,21,40,4,3981,9326,394,4.29
0,069841165X,23,38,6,12876,31208,1690,4.19
0,1250140234,5,14,1,7418,17290,856,4.01
0,0802165613,7,13,2,5447,10063,555,3.89
0,0735212783,77,156,11,1523,3370,152,3.48
0,1524797111,538,3866,107,5979,15863,896,3.96
0,006241903X,22,47,8,7835,16133,925,4.1
0,0399593675,3,10,1,11943,41805,1448,4.32
0,0062371894,10080,20397,1271,15654,36620,1871,4.06
0,1488079021,2,5,0,2577,6150,294,4.57
0,1420146408,68,1153,10,859,4737,50,3.83
0,045148892X,3,6,1,7165,14670,411,4.37
0,1501140108,24,34,5,12873,28170,1054,4.15
0,1420143174,119,783,34,1414,4290,172,3.97
0,0345540018,43,63,14,15303,32332,2157,3.97
0,0062741810,26,62,8,4618,10647,642,4.03
0,1488023689,15,16,3,7031,15780,807,4.03
0,0425285928,6238,25941,638,43728,126800,3822,4.23
0,0735213186,116991,327630,12517,148165,406798,15284,3.72
0,1501176854,6,17,1,6862,16241,904,4.22
0,0399585265,45,58,15,6498,14961,664,4.08
0,1501126067,82642,227652,10625,101303,287200,12573,4.02
0,0062654209,175,298,54,233706,542957,20270,4.27
0,006238175X,24,32,6,8674,19335,785,4.2
0,0316332828,21453,44841,1484,34735,70276,2073,4.37
0,1101883979,216,436,38,5020,12086,541,3.71
0,1538759659,6,8,0,5914,16382,461,3.58
0,0399586075,25,36,9,5845,12745,723,4.02
0,1501172034,558,1299,101,6186,11411,853,4.2
0,1451687621,2264,6327,277,3093,8589,333,4.25
0,0062389483,20,42,7,6149,13431,864,3.81
0,1250163307,4174,8435,529,4812,10001,596,3.88
0,0373803729,70,698,18,1175,3515,135,3.95
0,0735217165,2,5,0,4061,9322,267,3.88
0,1466887230,1,12,0,2880,8790,369,4.04
0,1501137492,55,104,18,63641,164970,7189,3.96
0,1501170635,94,151,38,53719,154048,6723,3.9
0,0316435481,13643,25913,1265,20904,46415,1702,4.03
0,0373803680,1115,3049,246,2707,7434,369,4.19
0,0062468863,25,37,11,4070,9228,387,4.17
0,0399183736,4952,10358,939,7715,16420,1139,4.33
0,1460398858,1,1,1,1950,5037,217,4.04
0,1501178326,1199,5880,210,8398,21938,1260,3.35
0,1501138111,13,28,5,7615,18912,710,4.14
0,0399575553,6,17,0,5011,10308,356,4.08
0,0698166612,4,12,0,2983,6639,299,4.02
0,1501180800,114,248,5,74288,132461,3504,4.23
0,0698157540,11,18,3,6676,13414,834,4.26
0,0062657569,2378,4050,358,4756,11022,531,4.13
0,0735211191,8,18,0,38163,118488,6521,3.62
0,1488028443,27,34,10,7463,18599,748,3.79
0,0062349074,120,176,48,28608,56845,4258,4.02
0,0345543890,23,36,2,15535,32765,1436,4.2
0,1250099730,6,10,1,7871,17520,959,4.05
0,0316229253,107,153,20,67820,132550,6580,4.34
0,1616203943,244,346,102,200561,359905,27369,3.99
0,1476758786,13,32,6,16578,56885,1554,3.81
0,0316504831,23,32,5,9922,26791,649,3.79
0,0399594612,12,21,3,5931,19893,608,3.69
0,1478971630,257,581,38,2770,7305,239,3.66
0,1460399986,1,6,0,2564,5961,301,4.54
0,1466887346,5,11,1,3531,10311,397,4.11
0,1429967234,263,374,70,143512,287510,12645,3.88
0,1488023220,5,10,1,6299,16730,852,3.76
0,0440336058,84,154,14,64748,101677,2705,4.15
0,1101634618,202,351,59,328914,715193,30943,3.86
