,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title,ratings_count,reviews_count,text_reviews_count,work_ratings_count,work_reviews_count,work_text_reviews_count,average_rating,popularity
144,"Little, Brown",James Patterson and Mark Sullivan,0316408999,2016-04-24,PRIVATE PARIS,4,2,4,16,0,10958,23123,677,3.85,False
145,Berkley,Nora Roberts,0425280101,2015-12-13,STARS OF FORTUNE,4,3,18176,38566,1577,27568,57285,2196,4.01,False
146,"Mulholland/Little, Brown",Robert Galbraith,0316349925,2015-11-29,CAREER OF EVIL,4,3,185,233,58,162837,281196,13877,4.21,False
147,Grand Central,Sandra Brown,1455581178,2015-09-27,FRICTION,4,1,11,24,1,23190,44460,1813,3.95,False
148,"Little, Brown",James Patterson and Michael Ledwidge,0316407186,2015-09-13,ALERT,4,1,9,19,1,15878,31805,1128,3.97,False
149,Ballantine,Paula McLain,0345534190,2015-09-06,CIRCLING THE SUN,4,3,170,479,47,69489,144721,7677,3.93,False
150,Random House Publishing,Janet Evanovich,034552778X,2015-05-24,WICKED BUSINESS,4,2,106,165,23,32899,55084,2809,3.79,False
151,Putnam,Mark Greaney,0399173358,2015-01-11,TOM CLANCY FULL FORCE AND EFFECT,4,6,4823,10045,368,8891,16545,505,4.24,False
152,Putnam,Jan Karon,0399167447,2014-10-12,SOMEWHERE SAFE WITH SOMEBODY GOOD,4,5,9083,17289,1716,11809,21675,1889,4.26,False
153,Grand Central,James Patterson and Michael White,145552977X,2014-10-12,PRIVATE DOWN UNDER,4,3,15,27,0,10587,24122,785,3.68,False
154,Viking,Deborah Harkness,0698163478,2014-08-31,THE BOOK OF LIFE,4,4,151,211,47,130712,263964,10806,4.18,False
155,Ballantine,Jonathan Kellerman,0345548418,2014-03-23,KILLER,4,1,48,116,10,11068,19214,832,3.96,False
156,"Little, Brown",James Patterson and Michael Ledwidge,031621101X,2013-11-10,GONE,4,1,31,73,4,18410,35191,1146,4.06,False
157,Soho Press,Lene Kaaberbol,1569479828,2013-09-08,THE BOY IN THE SUITCASE,4,5,90,153,20,31744,74512,3259,3.61,False
158,Random House Publishing,Sophie Kinsella,0440334861,2011-11-13,CAN YOU KEEP A SECRET?,4,5,7,10,0,372423,607679,12154,3.84,False
159,Mira,Debbie Macomber,0778312518,2011-10-09,1105 YAKIMA STREET,4,3,8359,15156,386,10321,18638,482,4.15,False
160,HarperCollins,J A Jance,0061758221,2011-09-11,UNTIL PROVEN GUILTY,4,3,99,184,16,10274,18692,726,3.94,False
